id,startNode,endNode,duration,type,length,name,ref
308,28114,30150,141.555196,2,1966.044394,,D 37
309,31498,31499,10.791291,2,149.879039,Rue de l'Abbé Niort,D 41
310,5716,24653,28.621759,2,397.524436,,
311,22724,22722,1.167447,2,16.214548,Rond-Point Tristan de Lima,
312,7853,7836,31.435355,2,436.602159,Avenue de Louveciennes,
313,12137,14107,31.131808,2,432.386217,Rue du Général de Gaulle,
314,13733,23512,1.197933,2,16.637961,,
315,14219,12758,0.658862,2,9.150859,,
316,16372,16360,6.297340,2,87.463052,,
317,22875,21162,33.078607,2,459.425104,,
318,13007,28635,1.068123,2,14.835044,Giratoire de la Haute Maison,
319,15790,15746,9.848419,2,136.783599,Rue Madeleine,D 157
320,22687,11646,4.447955,2,61.777150,Rue du Docteur Bauer,
321,22694,5212,1.165914,2,16.193254,,
322,17760,17757,20.703693,2,287.551296,,N 1104
323,5496,5515,42.600733,2,591.676845,,
324,7101,29054,14.356607,2,199.397324,Avenue de la République,D 912
325,11671,11670,19.366154,2,268.974365,Rue Ahmed Boughera El Ouafi,
326,14984,29772,7.838583,0,108.869206,,D 14
327,31974,13499,70.288907,2,976.234819,Avenue de la République,D 60
328,2516,1596,2.511157,3,34.877182,Rue de Ménilmontant,
329,17932,17931,1.142340,2,15.865832,,
330,18610,1877,90.882989,2,1262.263734,Boulevard de Jardy,D 182
331,19171,32113,0.188774,2,2.621858,,
332,1206,28554,1.571415,2,21.825205,,D 906
333,11159,11201,3.917243,2,54.406150,Rue de la Mare au Chanvre,
334,11797,12069,15.883831,2,220.608760,Rue du Chemin de Fer,
335,18041,18047,7.629696,2,105.968005,Boulevard Laurent et Danièle Casanova,
336,18635,18642,1.603111,2,22.265425,Rond-Point du 6 Juin 1944,
337,25928,26690,9.321800,2,129.469447,Avenue Darblay,
338,28853,28115,0.677524,2,9.410058,,
339,29224,7055,3.442013,2,47.805738,,D 26
340,3559,3554,1.519128,2,21.098997,,
341,5038,5034,1.518835,3,21.094929,Boulevard Romain Rolland,
342,8441,244,2.932825,2,40.733680,Rue du Pont Colbert,D 186
343,20088,15993,138.601535,0,1925.021314,,N 4
344,21989,31341,42.284706,2,587.287588,Avenue Hérault de Séchelles,D 25
345,3191,7002,35.451642,2,492.383922,Boulevard de la Reine,D 183
346,4609,4620,25.649311,7,356.240433,La Francilienne,N 104
347,7740,7677,533.670978,2,7412.096922,,D 928
348,9514,9498,81.695789,2,1134.663738,Boulevard de l'Europe,D 154
349,23853,23852,4.335892,3,60.220728,Rue Tronchet,
350,26783,26782,1.629488,2,22.631778,,
351,28733,2613,3.231385,3,44.880344,Place des Insurgés de Varsovie,
352,864,871,4.158998,0,57.763866,,
353,7615,21808,3.932780,2,54.621951,Rue de la République,
354,16659,32026,20.441814,2,283.914080,,
355,24212,1682,81.138889,2,1126.929014,,D 227
356,27640,13447,14.584934,2,202.568532,Rue Joffrin,
357,10285,29942,0.572883,2,7.956715,Rue des Moulins du Roi,
358,11986,11952,193.182517,2,2683.090515,,D 54A
359,13292,13799,7.821912,2,108.637663,Rue de la Varenne,D 3
360,19168,4209,2.596142,2,36.057528,Rue Jean-Baptiste Clément,D 63
361,12643,12629,40.230141,2,558.751958,Rue de Mongeroult,
362,13005,13061,2.273581,2,31.577513,Giratoire de la Haute Maison,
363,17875,23498,22.510807,2,312.650103,,
364,309,3688,28.129235,2,390.683815,,
365,7710,30337,63.146302,2,877.031966,Avenue du Maréchal Joffre,D 143
366,8515,8513,10.158341,2,141.088065,,D 449
367,9991,10009,17.147126,2,238.154522,Avenue de la Constellation,
368,12514,20433,86.547182,2,1202.044194,,D 915
369,12789,20421,4.704759,2,65.343878,Rue de la Croix,D 79
370,15120,15122,1.490184,2,20.697007,,
371,17968,17969,345.005455,2,4791.742428,Route de Gambaiseul,D 112
372,19796,20092,0.518886,2,7.206749,,
373,21915,21916,2.832045,2,39.333964,,
374,25717,1317,46.981504,2,652.520883,Boulevard d'Auteuil,
375,28214,28368,2.535195,2,35.211047,,
376,26437,26435,6.949968,2,96.527333,,
377,11153,10703,32.944672,2,457.564893,Esplanade Henri Patenôtre-Desnoyers,D 311
378,20472,20471,1.688561,2,23.452235,,
379,30987,30986,2.599541,2,36.104743,,
380,2252,20705,42.378875,3,588.595486,Boulevard de Magenta,
381,3864,5065,6.316861,3,87.734180,Avenue de la Porte de Châtillon,
382,5594,5601,5.981979,2,83.083035,,
383,7059,7055,9.963005,2,138.375064,,D 26
384,12196,25173,29.439304,2,408.879221,Avenue du Général de Gaulle,D 233
385,13259,26202,1.493778,2,20.746915,Route de Versailles,D 117
386,14565,14571,1.577182,2,21.905304,Rond-Point Albert Camus,
387,19885,24855,3.482858,2,48.373023,,D 92
388,25953,8574,31.901718,2,443.079414,Rue Jules Guesde,D 10
389,3699,3698,1.634997,3,22.708298,Place Gambetta,
390,10367,10352,5.748836,2,79.844938,Rocade de Beaudevrille,
391,10619,8402,24.650272,2,342.364894,Avenue Jean Jaurès,D 117
392,10838,10829,1.726784,2,23.983116,,N 330
393,13773,13772,1.182816,2,16.428003,Rond-Point de Mopti,
394,14041,14045,1.727662,2,23.995300,,
395,14677,17961,3.941343,0,54.740878,,
396,16060,16061,3.549681,2,49.301127,Rue de l'Église,
397,24407,24139,32.815271,2,455.767655,Route d'Ozouer,D 48
398,28253,25802,22.894609,2,317.980677,Avenue du Général Huerne,D 216
399,5046,28389,23.835364,6,331.046728,,A 13
400,23085,23083,1.704242,2,23.670024,,
401,24137,17777,0.995551,2,13.827092,Boulevard du Rhin et du Danube,
402,30995,30993,2.638920,2,36.651663,,
403,8051,8721,2.481618,2,34.466922,,
404,15651,12900,10.654355,2,147.977159,Rue Bourdignon,
405,26752,27554,32.618465,2,453.034234,Route de Coulommiers,D 934
406,32158,7875,11.143900,2,154.776395,Avenue Georges Clemenceau,
407,3403,26143,0.956865,2,13.289788,,
408,10874,10875,1.734133,3,24.085187,Place Jean Jaurès,
409,14446,14436,1.794423,2,24.922539,,
410,17897,17892,0.981729,2,13.635128,Avenue des Marais,
411,24879,24246,14.330400,2,199.033328,,D 222
412,4711,4709,2.325968,2,32.305117,,
413,13458,27988,1.508052,2,20.945169,,
414,15108,11385,3.580572,2,49.730167,Rue Lavoisier,D 17
415,15428,25579,3.064581,2,42.563620,,
416,28323,32484,2.271646,2,31.550643,Rue Jean Jaurès,D 105
417,28366,22726,1.819335,2,25.268538,,
418,3764,1880,7.898522,3,109.701692,Rue du Caporal Peugeot,
419,13225,5885,1.528526,2,21.229532,Boulevard des Coquibus,D 930
420,17575,17577,0.522924,2,7.262829,,
421,26614,20791,73.579242,2,1021.933923,,D 225
422,2391,2388,2.526867,2,35.095375,Avenue du Général de Gaulle,
423,4000,24700,120.418690,2,1672.481806,Route de Vernouillet,D 154
424,14383,4147,41.789140,0,580.404720,,
425,24771,24770,2.213465,2,30.742571,Rue de Chartres,D 988
426,26251,28112,280.084040,2,3890.056106,,D 114p
427,31095,24902,34.409802,2,477.913921,,D 1
428,9009,9011,1.041987,2,14.472046,,
429,17938,13255,18.267644,2,253.717279,Route de Versailles,
430,31933,31930,33.942392,2,471.422116,,
431,13802,13424,23.239212,2,322.766829,Rue d'Enghien,
432,25145,31365,1.349085,2,18.737289,Rue du Docteur Roux,D 44
433,27304,27545,456.327223,2,6337.878094,,D 97
434,30896,7831,15.677629,2,217.744841,,
435,3967,12556,2.812306,3,39.059808,Route de la Porte des Sablons à la Porte Maillot,
436,5651,21484,39.470340,2,548.199168,Avenue de Verdun,D 122
437,15667,15664,0.827346,2,11.490911,,
438,17237,17236,2.453263,2,34.073102,Avenue Louis Lachenal,
439,4158,5635,29.762057,2,413.361905,Boulevard Circulaire,N 13
440,12296,29048,55.715179,2,773.821927,,D 8
441,13467,25648,18.444745,2,256.177011,Quai Jules Guesde,D 152
442,17228,17246,5.355000,2,74.375006,,
443,22863,22861,1.852858,7,25.734143,,N 186
444,23070,451,116.933312,2,1624.073781,,A 126
445,27825,19460,1.646928,2,22.873994,,
446,2539,2534,16.730391,2,232.366536,Rue du Docteur Vaillant,D 7
447,13461,12479,130.369736,2,1810.690779,,D 18
448,16222,16223,19.394551,2,269.368760,Rue du Bois L'Evêque,
449,24068,24073,130.599327,2,1813.879537,,D 20e
450,26268,20931,8.401394,2,116.686032,,
451,29427,29433,0.656662,2,9.120300,,
452,2234,1817,85.048067,3,1181.223151,Rue de Tanger,
453,11822,11099,2.786345,2,38.699236,Chemin des Boeufs,
454,13197,31599,1.742644,2,24.203392,Rue Michelet,
455,15181,15182,0.989239,2,13.739430,Place du Cottage,
456,17416,17408,10.733840,2,149.081109,Rue Heurtault,D 27
457,791,4298,46.397550,3,644.410410,Rue du Faubourg Saint-Antoine,
458,6889,6887,11.405224,2,158.405882,Avenue Armand Guillebaud,D 60
459,11067,3513,152.858803,2,2123.038935,Rue de Claye-Souilly,
460,20708,11332,0.881291,2,12.240154,,
461,21726,21727,3.447050,2,47.875699,Rue de Colombes,D 106
462,30687,30686,1.440197,2,20.002738,,
463,5724,32446,249.667709,2,3467.607064,Route de Fresnes,D 54
464,9683,9666,1.987203,2,27.600035,,
465,24792,4784,605.112727,0,8404.343437,Autoroute de l'Est,A 4
466,30441,492,1.523839,2,21.164432,Rue Marcel Dassault,
467,8135,7847,1.486714,2,20.648811,,
468,22736,6489,53.268577,2,739.841352,Avenue d'Armorique,D 134
469,5229,5224,3.102095,2,43.084658,Place Pleyel,
470,12007,18363,12.692139,0,176.279711,,
471,13322,13843,11.179043,2,155.264490,Rue du Château d'Eau,
472,25181,25183,0.698096,2,9.695779,,
473,7375,7370,9.738403,2,135.255601,Rue Delizy,D 20
474,9107,20849,1.120673,2,15.564900,,D 190
475,17698,17694,20.519355,0,284.991035,,
476,26611,26609,2.926556,2,40.646617,,D 116
477,2818,2816,3.599663,2,49.995313,,
478,5150,5154,1.912172,2,26.557945,,
479,8905,8923,40.256571,2,559.119041,Rue Roger Salengro,
480,14847,14851,1.141775,2,15.857986,Rond-Point Clément Adler,
